"species","Catch_8595_tonnes"
"Sprat",158738.454545455
"Sandeel",782679.090909091
"N.pout",187395.545454545
"Herring",690177.181818182
"Dab",4122.91
"Whiting",124478.454545455
"Sole",30293.5454545455
"Gurnard",14646.18
"Plaice",238657.636363636
"Haddock",171797.636363636
"Cod",179617.363636364
"Saithe",161891
